samples,r.squared,distinct,points,removed,final,remaining
WROL2019_1004_ICR-1_p08,0.960551841175671,524,535,95,440,0.822429906542056
WROL2019_1004_ICR-2_p08,0.94193715877387,591,595,70,525,0.882352941176471
WROL2019_1004_ICR-3_p08,0.136586346448592,472,476,200,276,0.579831932773109
RC2_0001_ICR-1_p08,0.927730955909307,663,680,84,596,0.876470588235294
RC2_0001_ICR-2_p08,0.925081376776783,687,716,86,630,0.879888268156425
RC2_0001_ICR-3_p08,0.925071947292809,684,704,73,631,0.896306818181818
RC2_0002_ICR-1_p08,0.938382673020584,696,726,72,654,0.900826446280992
RC2_0002_ICR-2_p08,0.932883660966054,697,725,76,649,0.895172413793103
RC2_0002_ICR-3_p08,0.929411039969385,661,689,95,594,0.862119013062409
RC2_0003_ICR-1_p08,0.935613505620634,673,710,83,627,0.883098591549296
RC2_0003_ICR-2_p08,0.89317925338423,568,573,74,499,0.870855148342059
