sample,Dist,peak.x,peak.y,Dist.plus,Dist.minus,Trans.name
WROL2019_074,4.0312917,225.1132786,221.0819869,4.0313017,4.0312817,H4
WROL2019_074,2.0520324,225.1132786,223.0612462,2.0520424,2.0520224,CH6O_1
WROL2019_074,22.0207277,227.0925419,205.0718142,22.0207377,22.0207177,C3H2O_1
WROL2019_074,15.9949115,227.0925419,211.0976304,15.9949215,15.9949015,O1
WROL2019_074,14.0156411,227.0925419,213.0769008,14.0156511,14.0156311,CH2
WROL2019_074,13.9792581,227.0925419,213.1132838,13.9792681,13.9792481,H_2O1
WROL2019_074,12.0000081,227.0925419,215.0925338,12.0000181,11.9999981,C1
WROL2019_074,11.9636074,227.0925419,215.1289345,11.9636174,11.9635974,H_4O1
WROL2019_074,10.0207426,227.0925419,217.0717993,10.0207526,10.0207326,C2H2O_1
WROL2019_074,9.9843401,227.0925419,217.1082018,9.9843501,9.9843301,H_2C1
WROL2019_074,8.00509419999997,227.0925419,219.0874477,8.00510419999997,8.00508419999997,C2O_1
WROL2019_074,4.03129569999999,227.0925419,223.0612462,4.03130569999999,4.03128569999999,H4
WROL2019_074,1.97926329999999,227.0925419,225.1132786,1.97927329999999,1.97925329999999,C_1H_2O1
WROL2019_074,15.9949246,227.1289076,211.133983,15.9949346,15.9949146,O1
WROL2019_074,17.0265538,228.1605368,211.133983,17.0265638,17.0265438,H3N1
WROL2019_074,1.0316292,228.1605368,227.1289076,1.0316392,1.0316192,H3O_1N1
WROL2019_074,23.999993,229.0718072,205.0718142,24.000003,23.999983,C2
WROL2019_074,17.9741768,229.0718072,211.0976304,17.9741868,17.9741668,C_1H_2O2
WROL2019_074,15.9949064,229.0718072,213.0769008,15.9949164,15.9948964,O1
WROL2019_074,15.9585234,229.0718072,213.1132838,15.9585334,15.9585134,C_1H_4O2
WROL2019_074,13.9792734,229.0718072,215.0925338,13.9792834,13.9792634,H_2O1
WROL2019_074,13.9428727,229.0718072,215.1289345,13.9428827,13.9428627,C_1H_6O2
WROL2019_074,12.0000079,229.0718072,217.0717993,12.0000179,11.9999979,C1
WROL2019_074,11.9636054,229.0718072,217.1082018,11.9636154,11.9635954,H_4O1
WROL2019_074,9.98435949999998,229.0718072,219.0874477,9.98436949999998,9.98434949999998,H_2C1
WROL2019_074,7.98982029999999,229.0718072,221.0819869,7.98983029999999,7.98981029999999,C_2O2
WROL2019_074,6.010561,229.0718072,223.0612462,6.010571,6.010551,C_1H2O
WROL2019_074,5.0153253,229.0718072,224.0564819,5.0153353,5.0153153,H3N_1O1
WROL2019_074,1.97926530000001,229.0718072,227.0925419,1.97927530000001,1.97925530000001,C_1H_2O1
WROL2019_074,24.0363761,229.1081903,205.0718142,24.0363861,24.0363661,C3H4O_1
WROL2019_074,18.0105599,229.1081903,211.0976304,18.0105699,18.0105499,H2O
WROL2019_074,15.9949065,229.1081903,213.1132838,15.9949165,15.9948965,O1
WROL2019_074,14.0156565,229.1081903,215.0925338,14.0156665,14.0156465,CH2
WROL2019_074,13.9792558,229.1081903,215.1289345,13.9792658,13.9792458,H_2O1
WROL2019_074,12.036391,229.1081903,217.0717993,12.036401,12.036381,C2H4O_1
WROL2019_074,10.0207426,229.1081903,219.0874477,10.0207526,10.0207326,C2H2O_1
WROL2019_074,6.04694409999999,229.1081903,223.0612462,6.04695409999999,6.04693409999999,H6
WROL2019_074,3.99491169999999,229.1081903,225.1132786,3.99492169999999,3.99490169999999,C_1O1
WROL2019_074,2.0156484,229.1081903,227.0925419,2.0156584,2.0156384,H2
WROL2019_074,0.0363830999999948,229.1081903,229.0718072,0.0363930999999948,0.0363730999999948,CH4_O
