wrol_sample_id,whondrs_id,Site,Watershed,Sampling Event,sample_date,DOC,DOC SD,TN,TN SD,fi,hix,fi_new,manta_probe1,manta_probe2,freshness,b,t,a,m,c,uva254,uva412,S275295,S350400,SR,S280450,totala250450,totala300340,uva254corr,suva254,old_name/alias,notes
97,NA,CT-PHEL,Connecticut,03-Winter 2020,22-Mar-2020,NA,NA,NA,NA,1.118257898,11.45520104,1.445353022,1077.012479,530.691939,0.488981328,0.105187587,0.157384696,1.065113682,0.580334996,0.543368598,20.49474161,2.145131032,0.012301526,0.017043512,0.721771798,0.015587924,1575.606272,384.7889467,#REF!,#VALUE!,,eliminate
98,122,CT-POPE,Connecticut,03-Winter 2020,13-Mar-2020,1.489,0.054,0.342,0.355,1.227516451,18.64375326,1.502334121,327.027518,154.7152004,0.542106273,0.01272072,0.000173936,0.341164789,0.201161939,0.171326524,4.515380138,0.294126853,0.014036193,0.021376554,0.656616282,0.019355628,308.8196773,74.17880336,#REF!,3.031532582,,
99,121,CT-SLPR,Connecticut,03-Winter 2020,12-Mar-2020,1.787,0.025,0.365,0.057,1.218391571,13.80851525,1.539176698,417.5458743,188.8029333,0.577517298,0.02078427,0.047188817,0.444222009,0.264477724,0.216573409,5.742435764,0.364634413,0.014878261,0.02100939,0.708171979,0.019116602,385.6401211,90.80845347,#REF!,3.213823527,,
100,130,CT-STIL,Connecticut,03-Winter 2020,21-Mar-2020,NA,NA,NA,NA,1.137454193,6.511312742,1.453460905,783.1072383,371.1420976,0.540324631,0.136063408,0.19347365,0.815766721,0.473579928,0.394931255,13.983856,1.32579005,0.013451702,0.017476327,0.769709884,0.016062538,1032.012806,246.8523609,#REF!,#VALUE!,,
101,128,CT-THOM,Connecticut,03-Winter 2020,21-Mar-2020,NA,NA,NA,NA,1.179601352,11.47498181,1.525326228,539.058729,256.2919092,0.553561558,0.059610249,0.063347594,0.568451863,0.325279871,0.281504649,8.803317273,0.886414762,0.013016745,0.017062259,0.762896935,0.015548806,644.2814103,153.1639334,#REF!,#VALUE!,,
102,NA,CT-UNIO,Connecticut,03-Winter 2020,22-Mar-2020,NA,NA,NA,NA,1.133438322,6.881098051,1.452824136,584.3475276,267.1228717,0.562658278,0.101017397,0.123187884,0.623602433,0.364858903,0.29184255,10.54153827,0.904901832,0.014309501,0.017712681,0.807867627,0.016474165,753.4162081,177.8065749,#REF!,#VALUE!,,eliminate
103,123,CT-W9,Connecticut,03-Winter 2020,13-Mar-2020,1.728,0.019,0.540,0.146,1.168970293,12.31766736,1.493056992,344.3978626,169.4150148,0.474889644,0.023918929,0.000770806,0.354174961,0.209981747,0.182312257,5.590859882,0.411425436,0.013430761,0.020329861,0.660642056,0.018482864,398.669658,97.03489133,#REF!,3.235038896,,
104,076,BRO-LAP,Deschutes,03-Winter 2020,5-Feb-2020,0.465,0.052,0.017,0.021,1.084989928,14.9388216,1.431533366,94.25216522,45.34049088,0.375204465,0.011380372,0,0.097140702,0.047534298,0.045564846,1.757676381,0.163206035,0.011635395,0.01814804,0.641137816,0.016723126,131.6802264,32.34614136,#REF!,3.782929507,,
105,075,CUL-LAP,Deschutes,03-Winter 2020,5-Feb-2020,0.068,0.276,0.031,0.047,1.194633827,0.497150595,1.322497815,23.91613214,8.989818852,0.854381208,0.031244505,0.132379977,0.049538425,0.018054585,0.012858704,0.545247794,0.001593068,0.015672268,0.037065963,0.422821012,0.032093528,31.18386955,7.7193923,#REF!,8.003418429,,
106,079,DES-BFA,Deschutes,03-Winter 2020,5-Feb-2020,1.318,0.162,0.080,0.002,1.121643968,17.28119411,1.454004753,273.1786385,125.8569117,0.514756388,0.040829726,0.013127285,0.296551776,0.155396764,0.131705286,5.623511138,0.55034602,0.011842022,0.018154149,0.6523039,0.016347599,432.4389153,106.6072854,#REF!,4.267144734,,
107,074,DES-LAP,Deschutes,03-Winter 2020,5-Feb-2020,0.329,0.226,0.024,0.054,1.119872361,7.684902526,1.572248437,46.19071908,21.36144125,0.400623134,0.032980326,0.004746891,0.060198248,0.02757575,0.024883273,1.040790138,0.06871124,0.014055998,0.0213999,0.656825409,0.019345975,69.70208537,16.71459219,#REF!,3.160657127,,
108,081,DES-MAD,Deschutes,03-Winter 2020,4-Feb-2020,0.407,0.374,0.287,0.046,1.156300223,31.50421918,1.537568319,81.03244573,30.2328786,0.609139347,0.004049447,0,0.100006969,0.05182451,0.037357925,1.483569735,0.118562011,0.0174052,0.016282784,1.068932659,0.01633243,99.16317702,21.9634126,#REF!,3.643028765,,
109,083,DES-MOO,Deschutes,03-Winter 2020,8-Feb-2020,1.070,NA,0.115,0.028,1.130287289,14.31888684,1.513076175,221.6012937,99.09670264,0.555999613,0.048269056,0.029321335,0.229592858,0.12896776,0.107625516,3.937745819,0.332446489,0.01404229,0.017666601,0.794849552,0.016807347,281.2429348,66.28017689,#REF!,3.681492443,,
110,077,DES-WIC,Deschutes,03-Winter 2020,4-Feb-2020,0.435,0.142,0.057,0.027,1.073216385,9.641880758,1.503176198,49.15682462,20.19444838,0.549388682,0.027602647,0,0.060684285,0.033204595,0.023159479,1.065840462,0.067510705,0.017794154,0.0164078,1.084493591,0.01714727,69.02728614,15.15205287,#REF!,2.447921829,,
111,078,LDS-LAP,Deschutes,03-Winter 2020,4-Feb-2020,3.812,0.156,0.140,0.084,1.08957614,11.82915207,1.408063621,917.8428396,443.2121323,0.481393081,0.148785242,0.135629105,0.932800585,0.525926659,0.452941955,22.68592324,2.417463036,0.011693266,0.017267498,0.677183572,0.015599846,1779.482813,438.107068,#REF!,5.951471141,,
112,080,WHY-SIS,Deschutes,03-Winter 2020,4-Feb-2020,0.647,1.008,0.019,0.045,1.078026033,35.49271471,1.515893062,115.6045886,57.46065076,0.455922293,0.012719049,0.004808774,0.124674853,0.064521075,0.060257947,2.133299308,0.168151589,0.012197412,0.019740247,0.61789562,0.017985732,154.2217331,37.87502498,#REF!,3.297008585,,
113,189,EAS-ALM,Gunnison,03-Winter 2020,14-Feb-2020,0.722,0.273,0.123,0.031,1.218683934,7.342275972,1.570847302,132.6522944,54.09736628,0.634453531,0.031759224,0.009859359,0.147466717,0.080589307,0.065717991,1.457749038,0.074978315,0.016946935,0.023633736,0.717065441,0.02050784,90.93546826,20.46899003,#REF!,2.01858578,,
114,192,EAS-PUM,Gunnison,03-Winter 2020,15-Feb-2020,0.471,0.003,0.112,0.122,1.365670521,5.482641399,1.619226703,111.7557175,45.95940937,0.553198921,0.039042818,0.000299938,0.129532776,0.074716558,0.057203334,1.306281916,0.014093338,0.017228621,0.037883145,0.454783288,0.03647313,76.27097386,18.28183328,#REF!,2.770824161,,optics used from 20200317 run; what about data from 20200326 run?
115,193,EAS-ROC,Gunnison,03-Winter 2020,20-Feb-2020,0.973,0.079,0.085,0.071,1.219688455,20.45023935,1.536169073,222.0867594,101.7558346,0.532502936,0,0,0.235362458,0.130596104,0.110892819,2.825195119,0.15892884,0.015003775,0.022484412,0.66729673,0.02023899,186.1227258,43.51428923,#REF!,2.90463498,,
116,190,EAS-RUS,Gunnison,03-Winter 2020,20-Feb-2020,0.357,0.101,0.155,0.259,1.227864274,4.976981365,1.504024471,100.315931,42.72101799,0.58740326,0.026573809,0.000240494,0.120254984,0.061477485,0.051655335,1.551264512,0.070524,0.015601015,0.025877371,0.602882544,0.022687627,96.09973071,22.23365576,#REF!,4.339608223,,optics run 20200326
