sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
RC2_0155,T06,2021-12-02,Yakima,206.2035,19.18146744,3,78017752,8.6376,4.1888716728862515e-5,4.73,0.72
RC2_0156,T05P,2021-12-02,Yakima,383.8644,58.15536058,4,78018214,43.338096,1.1289949263333615e-4,5.1,1.66
RC2_0157,T42,2021-12-02,Yakima,2465.9001,26.64562338,6,78017687,9.014256,3.6555641487666107e-6,5.97,1.28
RC2_0158,T03,2021-12-02,Yakima,8977.0689,109.7128312,7,78018211,108.7488,1.2114065427302224e-5,7.8,1.32
RC2_0159,T02,2021-12-02,Yakima,13461.462,157.6129957,7,78018972,133.104,9.887781876886776e-6,8.8,1.55
RC2_0160,T07,2021-12-02,Yakima,14144.7249,172.4927792,7,78018963,161.7072,1.1432332628823345e-5,8.53,1.56
RC2_0163,T42,2021-12-13,Yakima,2465.9001,29.07578987,6,78017687,4.355616,1.7663391959795942e-6,1.6,0.92
RC2_0164,T03,2021-12-13,Yakima,8977.0689,117.1695636,7,78018211,62.8704,7.003444075159097e-6,2.83,0.96
RC2_0165,T02,2021-12-13,Yakima,13461.462,173.611085,7,78018972,59.472,4.4179450939281335e-6,4.7,1.06
RC2_0166,T07,2021-12-13,Yakima,14144.7249,183.9575753,7,78018963,94.5888,6.687213831921186e-6,4.23,1.11
RC2_0167,T07,2021-12-13,Yakima,14144.7249,193.7278615,7,78018963,61.4544,4.344686830918854e-6,4.23,1.03
RC2_0177,T02,2022-01-13,Yakima,13461.462,165.3661061,7,78018972,89.208,6.6269176408922e-6,2.7,2.33
RC2_0178,T07,2022-01-13,Yakima,14144.7249,185.1143733,7,78018963,89.7744,6.346846660835376e-6,2.3,1.08
RC2_0179,T03,2022-01-27,Yakima,8977.0689,112.2664675,7,78018211,89.7744,1.0000413386601055e-5,1.6,0.98
RC2_0183,T02,2022-01-27,Yakima,13461.462,162.203253,7,78018972,104.784,7.78399849882576e-6,2.2,1.13
RC2_0184,T07,2022-01-27,Yakima,14144.7249,177.3048234,7,78018963,128.5728,9.089805627821011e-6,2.73,1.16
RC2_0187,T42,2022-02-10,Yakima,2465.9001,28.31197293,6,78017687,5.43744,2.205052832432263e-6,4.6,1.24
RC2_0188,T03,2022-02-10,Yakima,8977.0689,111.3661498,7,78018211,96.0048,1.0694448385040244e-5,5.8,2.81
RC2_0189,T02,2022-02-10,Yakima,13461.462,167.8643183,7,78018972,78.7296,5.8485177910096255e-6,7.67,1.56
RC2_0190,T07,2022-02-10,Yakima,14144.7249,183.8915933,7,78018963,94.872,6.7072354302203504e-6,7.13,1.21
RC2_0191,T07,2022-03-01,Yakima,14144.7249,183.0533762,7,78018963,98.5536,6.967516208109499e-6,7.53,1.38
RC2_0192,T02,2022-03-01,Yakima,13461.462,161.5324997,7,78018972,108.4656,8.057490337973691e-6,7.97,1.46
RC2_0193,T42,2022-03-01,Yakima,2465.9001,23.47754806,6,78017687,25.88448,1.0496970254391085e-5,4.17,3.36
RC2_0194,T03,2022-03-01,Yakima,8977.0689,101.473311,7,78018211,208.4352,2.3218625402329262e-5,5.63,2.82
RC2_0195,T05P,2022-03-10,Yakima,383.8644,54.26035575,4,78018214,77.225808,2.011799166580699e-4,1.2,1.65
RC2_0196,T42,2022-03-10,Yakima,2465.9001,26.16530277,6,78017687,10.489728,4.25391442256724e-6,2.63,1.72
RC2_0197,T03,2022-03-10,Yakima,8977.0689,107.0842073,7,78018211,133.104,1.4827111330291786e-5,3.9,1.75
RC2_0198,T02,2022-03-10,Yakima,13461.462,154.7016997,7,78018972,155.4768,1.1549770745554979e-5,5.3,1.82
RC2_0199,T07,2022-03-10,Yakima,14144.7249,170.6980999,7,78018963,176.4336,1.2473455740379936e-5,6.27,1.66
RC2_0200,T06,2022-03-24,Yakima,206.2035,19.42977369,3,78017752,7.75968,3.763117502855189e-5,3.8,0.87
RC2_0201,T05P,2022-03-24,Yakima,383.8644,56.53299668,4,78018214,54.861504,1.4291896826066705e-4,3.03,2.33
RC2_0202,T42,2022-03-24,Yakima,2465.9001,25.08695741,6,78017687,14.89632,6.040925988850887e-6,5.3,2
RC2_0203,T03,2022-03-24,Yakima,8977.0689,109.3416234,7,78018211,111.864,1.2461082926521818e-5,8.67,1.81
RC2_0204,T02,2022-03-24,Yakima,13461.462,162.0461461,7,78018972,105.6336,7.84711200016759e-6,11.53,1.77
RC2_0205,T07,2022-03-24,Yakima,14144.7249,178.8668087,7,78018963,119.5104,8.449114482247726e-6,11.77,1.74
RC2_0206,T06,2022-04-07,Yakima,206.2035,19.40440084,3,78017752,7.84464,3.804319519309808e-5,3.27,0.72
RC2_0207,T05P,2022-04-07,Yakima,383.8644,55.42878833,4,78018214,64.663056,1.6845285991615787e-4,2.9,1.71
RC2_0208,T42,2022-04-07,Yakima,2465.9001,25.60307123,6,78017687,12.571248,5.098036209982716e-6,5.37,1.43
RC2_0209,T03,2022-04-07,Yakima,8977.0689,107.8471622,7,78018211,125.4576,1.3975341104934596e-5,8.77,1.58
RC2_0210,T02,2022-04-07,Yakima,13461.462,159.3043196,7,78018972,121.776,9.04626852566237e-6,10.43,1.72
RC2_0211,T07,2022-04-07,Yakima,14144.7249,175.517336,7,78018963,139.9008,9.890669559787622e-6,10.9,1.75
