sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
WROL2019_210,GUN-R32,2019-10-18,Gunnison,5509.3851,1652.755656,6,77013519,10.93152,1.9841633506432506e-6,5.4,1.495
WROL2019_211,TAY-TAY,2019-10-18,Gunnison,331.3395,17.43868602,4,77014146,1.65672,5.000067906180821e-6,6.9,0.906
WROL2019_212,GUN-GUN,2019-10-18,Gunnison,2645.9361,3384.628494,5,77013903,8.2128,3.103929834133183e-6,5.9,1.42
WROL2019_213,GUN-GRJ,2019-10-20,Gunnison,20481.6555,3296.905491,6,77013352,51.2592,2.502688320287391e-6,10.5,4
WROL2019_215,TAY-RES,2019-10-18,Gunnison,662.6592,10869.1026,5,77014098,3.8232,5.769481507236298e-6,8.9,2.006
WROL2019_216,EAS-ALM,2019-10-18,Gunnison,749.4102,32.84134904,4,77014019,2.200464,2.9362610757099382e-6,9.9,1.03
RC2_0001,T06,2021-04-20,Yakima,206.2035,17.9185943,3,78017752,15.23616,7.388894950861649e-5,4.3,1
RC2_0002,T05P,2021-04-20,Yakima,383.8644,50.86280385,4,78018214,132.36768,3.448292678352043e-4,4.97,2.49
RC2_0003,T41,2021-04-20,Yakima,2465.9001,23.00541749,6,NA,30.659232,1.2433282272870665e-5,7.9,2.94
RC2_0004,T03,2021-04-21,Yakima,8977.0689,102.3336054,7,78018211,194.2752,2.1641273133149285e-5,8,1.85
RC2_0005,T02,2021-04-21,Yakima,13461.462,153.7171554,7,78018972,163.9728,1.2180905758973284e-5,12.33,2.1
RC2_0006,T07,2021-04-21,Yakima,14144.7249,169.5204046,7,78018963,186.912,1.3214254877449049e-5,13.57,2.16
RC2_0007,T06,2021-04-28,Yakima,206.2035,18.20223721,3,78017752,13.36704,6.482450588860034e-5,4.53,0.82
RC2_0008,T05P,2021-04-28,Yakima,383.8644,51.88158144,4,78018214,112.20384,2.9230071869128785e-4,5.13,1.75
RC2_0009,T42,2021-04-28,Yakima,2465.9001,23.62773146,6,78017687,24.544944,9.953746301401263e-6,8.47,1.49
RC2_0010,T03,2021-04-28,Yakima,8977.0689,101.7243533,7,78018211,204.1872,2.2745419721575268e-5,11.63,1.61
RC2_0011,T02,2021-04-28,Yakima,13461.462,156.4470456,7,78018972,141.6,1.051891689030508e-5,13.33,1.87
RC2_0012,T07,2021-04-28,Yakima,14144.7249,174.6020299,7,78018963,146.1312,1.0331144722369258e-5,15.13,1.98
RC2_0013,T06,2021-05-06,Yakima,206.2035,17.52301404,3,78017752,18.35136,8.899635554197675e-5,6.9,0.78
RC2_0014,T05P,2021-05-06,Yakima,383.8644,50.19869473,4,78018214,147.6888,3.847421120583206e-4,6.3,1.54
