Date,Site_ID,Ultrameter_Temperature_Mean
 2022-05-19,T06,4.17
 2022-06-01,T42,12
 2022-06-02,T07,19.43
 2022-06-02,T02,18.63
 2022-06-02,T03,14.93
 2022-06-02,T05P,6.6
 2022-06-02,T06,7.13
 2022-06-16,T07,15.43
 2022-06-16,T02,15.3
 2022-06-16,T03,13.27
 2022-06-16,T42,11.87
 2022-06-16,T05P,9.5
 2022-06-16,T06,7.8
 2022-06-30,T07,20.1
 2022-06-30,T02,20.87
 2022-06-30,T03,15.87
 2022-06-30,T42,14.57
 2022-06-30,T05P,12.73
 2022-06-30,T06,8.73
 2022-07-14,T07,22.67
 2022-07-14,T02,22.87
 2022-07-14,T03,16.63
 2022-07-14,T42,16.07
 2022-07-14,T05P,16.87
 2022-07-14,T06,13.57
 2022-07-28,T07,25.97
 2022-07-28,T02,25.3
 2022-07-28,T03,18.17
 2022-07-28,T42,19.23
 2022-07-28,T05P,18
 2022-07-28,T06,14.97
 2022-08-25,T07,23.7
 2022-08-25,T02,23.3
 2022-08-25,T03,19.93
 2022-08-25,T42,17.23
 2022-08-25,T05P,16.8
 2022-08-25,T06,12.47
