sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL,mon,depth,vf_md,Da
WROL2019_050,DES-MOO,2019-11-21,Deschutes,25189.3503,2930.186672,6,78020390.0,130.8384,5.194195103952325e-06,9.7,0.79,11,0.7349637617784345,0.026317079894107566,4.371755042105525
WROL2019_051,HJA-WS1,2019-12-10,Willamette,0.96,1.006367473,1,78023871.0,0.002788812,2.9050125e-06,5.4,1.417,12,0.5728211487827946,0.019534162706465266,0.0014299508379018292
WROL2019_052,HJA-WS2,2019-12-10,Willamette,0.6,1.003690686,1,78023871.0,0.002223808,3.7063466666666654e-06,5.0,2.127,12,0.5728211487827946,0.019,0.0013871493073159848
WROL2019_053,BLU-TID,2019-12-10,Willamette,119.3625,7.806868333,3,78023561.0,1.414242899,1.1848301593884175e-05,4.0,1.139,12,0.6266423005539354,0.017727626839199342,0.009202302524891171
WROL2019_054,LOO-BLU,2019-12-10,Willamette,63.5697,4.396441643,3,78023871.0,0.50976,8.01891467161242e-06,4.0,0.805,12,0.5728211487827946,0.017727626839199342,0.005669198043827637
WROL2019_055,BLU-BLU,2019-12-10,Willamette,227.9673,2970.162157,4,78023549.0,1.665216,7.304626584602266e-06,4.8,0.939,12,0.7692876863429662,0.018738421385373825,3.0144850808530976
WROL2019_056,MCK-WAL,2019-12-05,Willamette,2730.9312,1299.005491,5,78023324.0,30.0192,1.0992294496470654e-05,5.9,0.529,12,1.2927097171492623,0.02022303346661384,0.8467301658842725
WROL2019_057,WIL-GOS,2019-12-05,Willamette,1664.3106,1448.112645,5,78023308.0,5.664,3.4032109150779907e-06,6.7,1.724,12,1.066063778597189,0.02137611120908738,1.2098641737121147
WROL2019_058,WIL-JAS,2019-12-05,Willamette,3494.8566,2006.278624,5,78023216.0,45.0288,1.2884305467640646e-05,8.4,1.238,12,1.2879257456686943,0.02404937528543532,1.5609643295944116
WROL2019_059,WIL-HAR,2019-12-05,Willamette,8825.7501,1561.667805,6,78023210.0,103.9344,1.1776268172378911e-05,7.1,0.989,12,1.515437667097709,0.02197707549420046,0.9436462919948893
WROL2019_060,WIL-COR,2019-12-06,Willamette,11376.3474,1416.196337,6,78022384.0,113.5632,9.982395579797431e-06,6.7,1.162,12,1.6165292121025856,0.02137611120908738,0.7802923842165688
WROL2019_061,WIL-POR,2019-12-08,Willamette,28921.6503,1374.262672,7,78020394.0,219.7632,7.598570542151946e-06,5.5,1.292,12,1.857155284270058,0.019670033552986174,0.6064784740451642
WROL2019_062,DES-MOO,2019-12-27,Deschutes,25189.3503,2929.057484,6,78020390.0,138.4848,5.497751960676811e-06,6.7,0.573,12,0.7908655377689611,0.02137611120908738,3.298699100630426
WROL2019_063,WIL-POR,2019-12-27,Willamette,28921.6503,1358.116061,7,78020394.0,620.208,2.144441944241335e-05,6.9,,12,1.857155284270058,0.02167451060150005,0.6604298971733938
WROL2019_064,WIL-GOS,2020-01-22,Willamette,1664.3106,1433.182769,5,78023308.0,112.9968,6.789405775580591e-05,7.2,,1,1.0698181326568608,0.02212993814290066,1.2352662669664374
WROL2019_065,WIL-JAS,2020-01-22,Willamette,3494.8566,1998.840291,5,78023216.0,167.3712,4.789072032311712e-05,6.8,,1,1.304267300119142,0.021524793820620173,1.374482603508282
WROL2019_066,HJA-WS2,2020-01-23,Willamette,0.6,1.093918445,1,78023871.0,0.151096374,0.00025182729,6.6,1.347,1,0.5738100774194675,0.021228455623372177,0.0016862576485894528
WROL2019_067,HJA-WS1,2020-01-23,Willamette,0.96,1.183851258,1,78023871.0,0.225129978,0.00023451039375000003,7.5,1.327,1,0.5738100774194675,0.0225949351850517,0.001942355979783083
WROL2019_068,BLU-TID,2020-01-23,Willamette,119.3625,5.649938669,3,78023561.0,20.9314839,0.0001753606358781024,5.8,1.368,1,0.6253670509308857,0.020083342770666226,0.007560203693832303
WROL2019_069,LOO-BLU,2020-01-23,Willamette,63.5697,10.37971288,3,78023871.0,9.23232,0.00014523145460809155,3.7,1.392,1,0.5738100774194675,0.01736279755435861,0.013086563866385303
WROL2019_070,BLU-BLU,2020-01-23,Willamette,227.9673,2967.442973,4,78023549.0,40.2144,0.0001764042474512792,5.9,1.226,1,0.768028930464316,0.02022303346661384,3.2556661264573767
