Name,Mass,WROL2019_084,WROL2019_078
C11H4Cl1N1O2,216.993,0,0
C11H6O1,154.041865,14,43
C11H6O3,186.031695,29,64
C11H8N2O4S1,264.02048,0,0
C11H8O3,188.047345,27,71
C11H8O4,204.04226,39,97
C11H9N1O3,203.058244,2,4
C12_C13,1.0033554,8,14
C12H10N2O2,214.074228,0,3
C12H10O12,346.01723,5,26
C12H10O4,218.05791,34,80
C12H11O4,219.065735,0,2
C12H12O10,316.04305,14,39
C12H12O2,188.08373,17,47
C12H16O12,352.06418,0,13
C12H16O2,192.11503,24,50
C12H16O4,224.10486,49,93
C12H17N3O7S1,347.078724,0,0
C12H17O3N1,223.120844,2,6
C12H19O7N4P2S1,425.044974,0,0
C12H20,164.1565,23,67
C12H20O10,324.10565,4,18
C12H20O3,212.141245,45,87
C12H20O5,244.131075,44,82
C12H20O8,292.11582,10,31
C12H20O9,308.110735,6,30
C12H21N1O9,323.121634,1,2
C12H22O1,182.167065,23,60
C12H22O6P2,324.089166,0,1
C12H23O6N3,305.158687,0,0
C12H24O2,200.17763,40,78
C12H26N7O14P3S1,617.047139,0,0
C12H8N4O1,224.069811,0,1
C12H8O3,200.047345,14,47
C12H8S2,216.006744,0,2
C13H10O1,182.073165,2,26
C13H10O3,214.062995,12,43
C13H14O2N4,258.111676,0,0
C13H16N4O2,260.127326,0,0
C13H16O2P_2S_1,110.195432,19,25
C13H16O3,220.109945,24,51
C13H20O_1,160.161585,4,21
C13H21N6O15P3S1,625.999855,0,0
C13H28N7O15P3S1,647.057704,0,0
C13H6N2O4,254.032758,0,1
C14H10O2S2,274.012224,0,1
C14H12N6O2,296.102174,0,0
C14H14O6,278.07904,22,56
C14H15O5N1,277.095024,0,0
C14H17O6N3S1,355.083809,0,1
C14H20N2O9,360.116883,0,1
C14H20N7O17P3S1,682.984934,0,0
C14H20O2,220.14633,21,49
C14H21N6O13P3S1,606.010025,0,0
C14H22,190.17215,7,39
C14H22N7O15P3S1,653.010754,0,0
C14H23O10N1,365.132199,0,1
C14H24N7O10P3S1,575.051829,0,0
C14H26N7O11P3S1,593.062394,0,0
C14H26O1,210.198365,12,43
C14H26O2,226.19328,24,55
C14H8O2,208.05243,1,15
C15H12O7,304.058305,12,53
C15H16O7,308.089605,23,66
C15H16O8,324.08452,21,54
C15H17N1O8,339.095419,2,1
C15H17N5O10P2S1,521.017143,0,0
C15H18O3,246.125595,13,45
C15H21N5O13P2,541.061116,0,0
C15H22N5O13P2,542.068941,0,0
C15H22O_7P_2,28.260219,0,0
C15H22O1,218.167065,6,27
C15H22O2,234.16198,10,35
C15H23N5O16P3,622.035274,0,0
C15H24,204.1878,2,15
C15H24N7O15P3S1,667.026404,0,0
C15H24O3,252.172545,25,55
C15H26O1,222.198365,10,28
C15H28O1,224.214015,9,39
C15H30N7O13P3S1,641.083524,0,0
C15H30N7O14P3S1,657.078439,0,0
C15H30O_1,194.239835,2,15
C15H32N7O14P3S1,659.094089,0,0
C15H8O4,252.04226,0,12
C15H8O6,284.03209,8,39
C16H10O7,314.042655,11,34
C16H12O5,284.068475,9,34
C16H13N1O3,267.089544,0,0
C16H17O2N1,255.125929,0,0
C16H20O3,260.141245,7,30
C16H24O2,248.17763,9,32
C16H26N5O13P3S1,621.046076,0,0
C16H26N7O12P3S1,633.057309,0,0
C16H27N6O12P3S1,620.06206,0,0
C16H28,220.2191,2,12
C16H28N7O10P3S1,603.083129,0,0
C16H28O8,348.17842,6,23
C16H30N7O15P3S1,685.073354,0,0
C16H32O1,240.245315,2,20
C17H12O7,328.058305,8,26
C17H16O2,252.11503,1,8
C17H17N1O3,283.120844,0,0
C17H17O2N1,267.125929,0,0
C17H18O5,302.115425,13,35
C17H19N4O8P1,438.094054,0,0
C17H19O2N1,269.141579,0,0
C17H21O3N1,287.152144,0,0
C17H22O9,370.126385,6,27
C17H28N2O12S1,484.1363,0,0
C17H28N7O12P3S1,647.072959,0,0
C17H30N7O10P3S1,617.098779,0,0
C17H30O12N2S1,486.15195,0,0
C17H32N6O4S1,416.220576,0,0
C17H34O_1,222.271135,1,3
C18H10O5,306.052825,0,3
C18H12O5,308.068475,2,10
C18H12O6,324.06339,1,15
C18H12O7,340.058305,2,11
C18H14N1F1O1,279.1059422,0,0
C18H14N2O6,354.085188,0,1
C18H14O7,342.073955,3,30
C18H19N1O3,297.136494,0,0
C18H19O2N1,281.141579,0,1
C18H22O1,254.167065,0,8
