samples,r.squared,distinct,points,removed,final,remaining
WROL2019_002_ICR-1_p1,0.569935394236102,48,48,3,45,0.9375
WROL2019_015_ICR-1_p1,0.881313247390159,24,24,2,22,0.916666666666667
WROL2019_024_ICR-2_p1,0.678953523924847,29,29,4,25,0.862068965517241
WROL2019_025_ICR-1_p1,0.811423462709854,118,118,23,95,0.805084745762712
WROL2019_025_ICR-3_p08,0.812581759151573,100,100,10,90,0.9
WROL2019_026_ICR-1_p08,0.752657149559864,120,120,4,116,0.966666666666667
WROL2019_041_ICR-1_p1,0.743451060607787,142,145,28,117,0.806896551724138
WROL2019_041_ICR-2_p1,0.737179961477565,106,106,12,94,0.886792452830189
WROL2019_041_ICR-3_p1,0.93886622306772,40,40,26,14,0.35
WROL2019_042_ICR-1_p08,0.338248114517398,6,6,3,3,0.5
WROL2019_042_ICR-2_p1,0.711610280836189,80,82,11,71,0.865853658536585
WROL2019_043_ICR-2_p1,0.889291987163999,92,92,7,85,0.923913043478261
WROL2019_044_ICR-2_p08,0.753661809625524,83,83,9,74,0.891566265060241
WROL2019_044_ICR-3_p08,0.986186313907383,23,23,16,7,0.304347826086957
WROL2019_046_ICR-1_p1,0.564822695504733,60,60,6,54,0.9
WROL2019_046_ICR-3_p1,0.594456431480446,75,75,15,60,0.8
WROL2019_047_ICR-1_p08,0.822980496669962,93,94,4,90,0.957446808510638
WROL2019_047_ICR-2_p1,0.715523717068261,101,102,27,75,0.735294117647059
WROL2019_047_ICR-3_p1,0.654394116473838,79,81,14,67,0.827160493827161
WROL2019_075_ICR-2_p1,0.638854041898745,75,78,12,66,0.846153846153846
WROL2019_1002_ICR-1_p1,0.955243964135558,43,43,17,26,0.604651162790698
WROL2019_117_ICR-2_p1,0.878182652494724,17,17,2,15,0.882352941176471
