sample,NA,Lignin,Other,Tannin,Protein,Lignin_Amino Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond Hydrocarbon,Unsat Hydrocarbon_Cond Hydrocarbon,Protein_Amino Sugar,Carbohydrate_Amino Sugar,Protein_Lignin,Protein_Lignin_Amino Sugar,Lignin_Tannin
WROL2019_180,1448,1973,488,412,868,85,8,141,408,75,166,90,24,6,22,11,2,1,12
WROL2019_181,1513,1646,423,351,856,72,11,142,341,72,140,80,20,6,20,10,3,1,9
WROL2019_182,1483,1664,406,348,949,67,10,136,321,68,155,87,21,6,24,17,2,1,9
WROL2019_183,1462,2009,547,505,733,88,4,105,517,84,157,69,26,7,25,11,2,1,11
WROL2019_184,1562,1919,516,372,694,76,4,142,360,78,124,80,23,9,16,9,2,2,10
WROL2019_185,2065,2070,851,499,780,83,9,189,633,224,152,84,26,21,20,9,4,1,15
WROL2019_186,1578,2126,486,440,840,81,8,115,426,58,142,69,23,6,20,9,2,1,13
WROL2019_188,1436,1782,359,302,715,73,6,113,292,47,126,57,18,4,19,7,2,1,10
WROL2019_189,1311,1319,262,178,654,57,8,111,99,22,123,45,9,4,17,9,2,1,10
WROL2019_190,1215,865,222,124,737,42,10,108,55,22,107,33,9,0,17,4,2,1,8
WROL2019_192,1427,1015,267,170,537,47,7,106,107,25,94,37,11,1,10,5,1,1,8
WROL2019_193,1250,1663,284,344,463,66,5,99,298,29,85,25,22,3,12,3,2,1,9
WROL2019_194,1549,1662,421,292,902,68,10,148,313,83,158,83,18,3,26,12,2,1,8
WROL2019_195,1724,2058,520,348,839,84,8,152,383,99,155,76,20,8,26,9,3,1,11
WROL2019_209,1604,2131,605,362,764,75,7,121,443,103,149,86,18,2,23,9,6,1,9
WROL2019_210,1574,1896,415,324,783,79,8,117,324,84,145,72,19,8,21,11,2,1,10
WROL2019_211,1551,1177,385,222,868,56,10,145,225,57,132,64,18,4,21,12,2,1,10
WROL2019_212,1481,1827,374,327,772,76,6,128,321,48,147,70,19,7,19,10,2,1,9
WROL2019_213,1532,910,255,172,576,47,4,107,92,23,101,43,8,1,12,6,2,1,9
WROL2019_215,1571,2080,593,400,895,80,8,116,514,105,166,77,24,10,25,14,2,2,9
WROL2019_216,1372,1332,271,178,626,61,9,98,142,27,107,55,11,4,16,7,2,1,8
WROL2019_1001,1477,1559,358,309,720,66,5,120,241,34,125,59,20,3,20,12,2,1,9
WROL2019_1002,1329,1013,289,185,671,50,5,94,115,29,126,58,13,2,17,11,2,1,8
WROL2019_1003,1443,1161,271,207,748,51,8,134,151,34,127,50,15,2,19,7,2,1,8
WROL2019_1004,2118,2489,922,393,830,98,7,177,533,227,165,92,23,17,23,11,5,2,14
RC2_0001,1946,2205,572,413,764,84,7,140,320,115,146,93,22,9,20,9,3,1,10
RC2_0002,1974,2283,633,479,807,85,6,103,411,123,155,85,25,7,22,10,4,1,10
