sample,NA,Lignin,Other,Tannin,Protein,Lignin_Amino Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond Hydrocarbon,Unsat Hydrocarbon_Cond Hydrocarbon,Protein_Amino Sugar,Carbohydrate_Amino Sugar,Protein_Lignin,Protein_Lignin_Amino Sugar,Lignin_Tannin
RC2_0135,1950,2113,619,499,838,88,8,143,407,87,180,166,22,11,27,14,3,1,9
RC2_0136,1876,2209,596,416,841,93,8,119,405,108,183,164,22,10,28,18,3,1,12
RC2_0137,2280,1738,556,414,1033,76,12,187,320,121,174,109,22,11,27,15,2,1,10
RC2_0138,2178,2042,631,491,746,78,6,136,497,101,162,98,24,11,22,14,2,1,11
RC2_0139,2460,1830,638,463,818,86,8,144,446,115,168,141,21,11,25,17,3,1,10
RC2_0140,2383,2028,625,434,746,82,6,180,435,81,155,110,22,7,18,13,2,1,10
RC2_0141,2122,2148,620,457,906,83,6,158,421,106,177,132,22,4,24,15,3,1,12
RC2_0142,1790,2055,529,435,897,89,8,162,388,85,167,130,23,6,26,15,3,1,10
RC2_0143,2390,1845,645,396,824,79,9,167,413,117,145,97,20,9,23,10,2,1,10
RC2_0144,2111,2060,685,558,727,90,6,116,476,111,171,146,24,12,20,13,3,1,11
RC2_0145,2322,1946,688,482,763,82,7,143,463,96,169,149,22,11,20,15,2,1,11
RC2_0146,2316,1957,577,420,855,86,8,177,369,89,167,137,24,9,26,20,4,1,9
RC2_0147,1991,1994,550,412,1025,80,9,162,350,98,207,124,24,8,31,22,2,1,10
RC2_0148,2027,2161,541,417,759,85,8,150,420,94,144,106,26,4,22,10,2,1,9
RC2_0149,1848,2100,713,437,1009,90,9,154,345,120,212,120,20,9,30,21,4,1,12
RC2_0150,1649,2079,632,463,823,83,8,120,403,111,161,89,22,9,20,14,3,1,11
RC2_0151,2894,1981,836,476,1255,81,18,344,431,173,201,125,22,8,30,21,2,1,11
RC2_0152,1751,2077,579,431,938,86,9,147,399,110,174,88,23,11,25,18,3,1,9
RC2_0153,1463,2002,495,409,939,78,7,132,352,78,169,83,24,9,27,13,4,1,9
RC2_0154,1754,2023,599,427,1124,93,12,196,390,133,205,104,21,12,30,21,4,1,9
RC2_0155,1836,1906,586,383,999,80,13,192,325,132,157,82,21,8,23,14,2,1,9
RC2_0156,1785,2164,693,482,910,82,8,147,465,138,211,103,24,11,32,15,3,1,10
RC2_0157,1694,2060,580,409,862,81,12,147,389,103,149,67,23,11,24,12,3,1,10
RC2_0158,1717,2091,593,452,883,77,8,139,401,105,158,84,24,10,22,13,3,1,9
RC2_0159,1566,2155,560,477,846,82,7,118,386,89,163,87,26,10,22,15,2,1,9
RC2_0160,1768,2082,645,560,821,89,11,122,431,105,185,138,25,9,22,17,3,1,12
RC2_0163,1723,1900,563,367,887,70,11,185,345,106,141,66,21,10,22,8,2,1,9
RC2_0164,1613,1838,476,354,862,74,6,151,304,92,147,71,19,7,22,10,2,1,9
RC2_0165,1641,2089,551,420,984,91,10,146,332,105,182,94,20,9,27,14,2,1,9
RC2_0166,1748,1839,483,368,906,80,9,186,287,84,154,80,18,7,25,14,2,1,9
RC2_0167,2205,1728,642,322,1290,82,16,289,241,155,202,122,18,7,30,23,2,1,9
RC2_0177,1786,1888,533,416,1072,85,11,197,362,94,179,98,22,10,31,20,4,1,9
RC2_0178,1756,2019,511,397,929,79,9,192,288,85,149,92,21,6,21,10,3,1,9
RC2_0179,1522,1981,517,372,851,80,7,122,311,89,147,73,20,6,20,12,2,1,10
RC2_0183,1469,1903,465,403,743,85,6,104,301,74,152,69,23,7,22,10,3,1,9
RC2_0184,1659,2136,548,423,848,83,8,129,359,98,153,75,26,10,23,16,2,1,10
RC2_0187,1747,2078,637,481,994,86,9,143,394,116,202,110,22,11,29,20,4,1,9
RC2_0188,1853,1974,554,405,981,81,9,214,381,90,176,98,23,11,24,19,5,1,9
RC2_0189,1716,2193,590,399,923,87,9,164,379,73,157,77,20,8,22,12,3,1,10
RC2_0190,1703,2119,531,362,917,80,8,187,306,91,148,62,19,5,21,12,3,1,9
RC2_0191,1790,2083,540,412,926,87,8,167,322,95,173,83,19,10,26,15,2,1,9
RC2_0192,2084,1920,553,371,834,87,10,257,319,95,145,85,20,8,22,10,2,1,10
RC2_0193,1833,2197,702,439,974,78,7,156,468,140,174,92,23,10,24,17,4,1,9
RC2_0194,1881,1971,539,431,861,79,7,159,410,123,152,86,21,9,21,15,3,1,10
RC2_0195,1624,2209,621,480,846,88,8,123,399,121,153,75,24,13,20,15,2,1,9
RC2_0196,1870,2098,612,413,797,81,7,146,381,111,151,78,22,8,20,14,2,1,9
RC2_0197,1697,2114,590,476,875,89,8,132,368,105,179,87,23,9,23,23,4,1,9
RC2_0198,1775,2159,601,481,843,86,7,131,383,105,174,97,24,9,24,16,3,1,10
RC2_0199,1540,2318,618,432,788,81,6,112,419,120,141,77,24,13,22,10,2,1,9
RC2_0200,1816,2233,767,419,1160,89,10,208,349,182,192,93,22,11,27,17,3,1,11
RC2_0201,1892,2523,937,497,918,87,8,157,561,208,176,99,26,9,26,15,5,1,9
RC2_0202,1787,2415,794,490,1021,91,7,153,503,189,203,99,26,15,27,17,4,1,11
RC2_0203,1715,2442,821,490,976,87,10,150,480,191,181,98,25,12,23,17,3,1,9
RC2_0204,1787,2493,831,457,1015,90,11,197,480,161,181,98,26,13,24,15,5,1,9
RC2_0205,1821,2575,927,473,1096,94,13,214,516,200,212,109,24,15,29,17,4,1,9
RC2_0206,1934,1865,676,352,1224,86,13,217,260,162,201,116,20,9,30,22,3,1,9
RC2_0207,1816,2411,783,530,928,92,8,153,476,167,188,92,23,15,24,16,3,1,10
RC2_0208,1684,2327,721,482,1001,87,8,151,458,184,162,84,23,8,23,17,4,1,10
RC2_0209,1748,2442,845,487,1055,90,11,171,509,193,184,92,24,12,28,16,2,1,9
RC2_0210,1807,2500,875,438,1102,91,9,186,523,214,198,98,23,16,25,18,5,1,9
RC2_0211,1821,2372,900,440,1089,96,10,178,463,176,219,133,24,17,28,18,4,1,10
WROL2019_001,2177,1114,560,260,804,49,10,199,242,68,112,87,19,5,17,7,1,1,8
WROL2019_002,854,298,141,20,296,12,1,100,22,13,42,11,0,0,5,0,1,1,2
WROL2019_003,1573,587,342,68,652,27,6,230,81,33,79,50,4,1,12,4,2,1,4
WROL2019_004,1446,1790,427,398,921,71,9,153,439,52,152,64,24,4,21,13,2,1,9
WROL2019_005,1424,1527,340,357,703,64,9,116,312,44,128,53,19,5,18,8,2,1,9
WROL2019_006,1535,537,275,50,697,33,8,155,53,37,88,35,2,1,14,5,1,1,5
WROL2019_007,1327,1255,310,193,820,58,11,105,150,30,132,50,12,3,24,10,2,1,9
WROL2019_008,1549,1052,313,172,871,44,11,137,163,60,124,54,12,2,23,7,2,1,9
WROL2019_009,1287,1378,314,260,938,57,12,127,221,56,141,50,19,2,26,10,3,1,8
WROL2019_010,1261,1856,372,323,685,74,5,80,319,44,129,59,17,7,17,9,2,1,8
WROL2019_011,1693,2006,431,296,821,72,6,103,332,55,137,60,17,4,21,8,5,1,10
WROL2019_012,1528,1610,563,513,707,58,10,169,457,63,113,84,26,11,14,13,3,1,10
WROL2019_013,1087,580,343,81,579,28,7,181,79,32,77,55,2,3,10,5,1,1,6
WROL2019_014,1203,979,360,187,742,45,10,193,123,50,117,51,14,5,18,11,1,1,9
WROL2019_015,1114,755,346,139,671,37,7,161,110,44,99,54,8,2,15,6,2,1,8
WROL2019_016,1511,1264,508,245,815,54,11,189,215,77,137,96,14,5,20,11,2,1,9
WROL2019_017,1186,757,318,115,558,41,8,155,100,40,90,48,8,1,11,4,2,1,7
WROL2019_018,1147,1276,381,284,634,49,8,151,236,53,109,48,16,3,16,9,2,1,9
WROL2019_019,1474,1498,477,332,798,58,11,183,317,74,142,96,17,6,18,14,2,1,9
WROL2019_020,1626,1274,518,247,724,50,8,221,214,60,118,77,16,6,18,10,2,1,9
WROL2019_021,1564,1266,498,255,687,52,7,165,231,53,123,66,14,5,15,10,2,1,9
WROL2019_022,1187,803,321,131,565,35,3,102,111,32,82,62,2,4,12,4,2,1,7
WROL2019_023,1158,1612,439,375,682,59,7,142,288,58,116,66,21,4,16,7,2,1,9
WROL2019_024,940,388,169,10,540,23,6,94,19,12,71,19,0,0,10,3,2,1,2
WROL2019_025,1316,290,256,12,642,21,9,120,30,30,80,23,0,1,15,4,1,1,0
WROL2019_026,1124,318,191,5,568,24,5,105,22,20,74,24,1,1,11,5,1,1,0
WROL2019_029,1528,716,261,83,718,34,9,148,74,38,104,46,3,2,16,6,1,1,6
WROL2019_030,1569,1021,356,154,725,43,7,124,108,41,105,53,11,4,19,9,2,1,8
WROL2019_033,1301,745,245,75,877,39,8,138,51,42,131,38,3,0,24,11,2,1,6
WROL2019_034,1559,792,287,101,783,43,7,145,53,50,116,65,5,2,18,14,1,1,6
WROL2019_035,1727,1332,375,274,831,50,8,182,215,52,130,57,15,1,20,8,2,1,8
WROL2019_036,1473,962,299,182,928,43,14,162,109,56,126,53,11,1,24,12,2,1,7
