Sample,CHONS,CHONP,CHON,CHO,CHOS,CHOP,CHONSP,CHOSP
WROL2019_126,55,146,328,2399,127,819,72,84
WROL2019_128,40,108,298,1942,137,762,40,81
WROL2019_130,38,182,353,2242,159,908,77,88
WROL2019_134,45,160,356,1960,153,813,54,94
WROL2019_135,56,205,365,2040,136,855,58,94
WROL2019_136,47,178,232,1501,217,776,36,44
WROL2019_137,217,120,330,2160,111,784,99,94
WROL2019_138,34,118,311,2067,94,755,57,69
WROL2019_139,111,108,171,1168,104,601,54,47
WROL2019_140,38,126,98,980,84,584,26,33
WROL2019_145,40,145,325,2006,156,790,36,40
WROL2019_146,70,200,215,1605,103,805,47,59
WROL2019_147,70,177,394,1713,124,807,39,72
WROL2019_148,55,79,672,2284,297,703,138,79
WROL2019_149,47,172,399,1873,197,815,33,49
WROL2019_150,37,74,223,1540,86,650,30,36
WROL2019_151,47,176,178,1284,58,672,30,27
WROL2019_152,90,153,309,1409,112,702,39,53
WROL2019_153,55,139,466,1925,259,795,40,47
WROL2019_154,49,93,329,1330,91,656,22,25
WROL2019_155,64,220,590,2441,407,1074,73,64
WROL2019_162,216,174,665,2546,393,979,185,300
WROL2019_164,166,79,207,833,112,433,94,65
WROL2019_165,45,173,466,1914,123,769,49,66
WROL2019_166,58,186,513,2343,207,859,66,84
WROL2019_167,108,145,548,2189,391,806,161,170
WROL2019_168,56,155,537,2174,348,779,63,60
WROL2019_169,40,176,273,1418,83,778,29,40
WROL2019_170,43,135,633,2441,449,794,91,55
WROL2019_171,37,156,545,2148,394,810,36,79
WROL2019_172,226,117,421,1943,202,729,70,79
WROL2019_173,95,218,617,2366,534,861,87,93
WROL2019_174,65,110,379,2416,146,804,79,77
WROL2019_175,286,350,512,2578,423,983,243,225
WROL2019_176,46,145,399,1926,133,778,49,85
WROL2019_177,43,183,381,2148,150,795,54,54
WROL2019_178,47,89,520,2564,303,798,103,72
WROL2019_179,262,118,570,2464,473,770,149,99
WROL2019_180,85,127,586,2489,478,828,113,86
WROL2019_181,144,127,474,2170,357,786,55,90
WROL2019_182,44,165,481,2356,261,854,63,67
WROL2019_183,91,115,498,2617,334,806,219,221
WROL2019_184,117,126,481,2304,336,725,180,167
WROL2019_185,295,206,615,2445,562,941,242,364
WROL2019_186,70,103,653,2526,489,813,135,76
WROL2019_188,71,108,541,2071,264,749,58,71
WROL2019_189,50,127,386,1458,150,693,29,37
WROL2019_190,35,122,207,1262,71,612,32,25
WROL2019_192,30,97,257,1307,89,580,29,60
WROL2019_193,62,66,402,1976,156,604,67,80
WROL2019_194,47,141,465,2357,213,821,66,100
WROL2019_195,94,171,668,2402,308,827,151,179
WROL2019_209,356,137,565,2291,338,786,220,221
WROL2019_210,88,171,580,2212,233,797,112,126
WROL2019_211,64,166,334,1802,191,751,46,55
WROL2019_212,56,140,584,2229,241,758,77,78
WROL2019_213,63,126,245,1201,80,561,54,39
WROL2019_215,134,132,626,2634,374,793,243,184
WROL2019_216,55,132,403,1524,102,649,30,60
WROL2019_1001,57,134,418,2038,163,719,52,82
WROL2019_1002,43,161,289,1355,82,707,28,24
WROL2019_1003,47,150,338,1603,64,711,29,54
WROL2019_1004,331,234,855,2470,697,835,300,306
RC2_0001,67,217,533,2415,330,1022,209,140
RC2_0002,99,187,452,2670,373,1043,256,169
