sample,AI.mean,AI.median,AI.sd,AI.Mod.mean,AI.Mod.median,AI.Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE.O.mean,DBE.O.median,DBE.O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,mass.mean,mass.median,mass.sd,number.of.peaks,peaks.with.formula
RC2_0131,0.082115699,0,0.189940336,0.185368728,0.108747045,0.222700331,8.112209047,7,5.566712217,-1.029424682,-2,6.395557312,442.5764351,430.6391103,124.3225335,0.371722201,0.345198271,0.170909749,-0.543592081,-0.592592593,0.606330843,1.418287629,1.444444444,0.418618439,0.445225426,0.444444444,0.184474174,0.021807646,0,0.049544393,0.019895234,0,0.026249653,0.433715221,0,0.700980442,464.3768388,464.041005,118.0781595,7272,4554
RC2_0132,0.093379008,0,0.192281628,0.241468965,0.208333333,0.220147856,9.801013662,9,5.690173336,-0.233583076,-1,6.191286296,457.9112662,444.6744488,131.8922551,0.405803485,0.37894537,0.181896174,-0.355548896,-0.347826087,0.621743295,1.284028917,1.266666667,0.408300098,0.467298864,0.46875,0.185504539,0.018791647,0,0.046598904,0.016128474,0,0.02435516,0.407529723,0,0.739569086,482.6409919,478.5748454,125.3288755,6989,4538
RC2_0133,0.09958725,0,0.198317039,0.247323122,0.208333333,0.226348252,9.621089224,9,5.618398994,-0.087137891,-1,6.150583649,445.5677855,430.720408,128.0408561,0.404505953,0.375910336,0.181559028,-0.350202508,-0.352941176,0.632745024,1.275810464,1.272727273,0.408803939,0.466449281,0.466666667,0.187727674,0.0186222,0,0.044278196,0.016077071,0,0.024395994,0.384992987,0,0.746283823,469.0765587,465.340824,123.0584091,6821,4315
RC2_0134,0.089485748,0,0.183746688,0.242142301,0.207221861,0.215958521,9.522495756,9,5.33034423,-0.248089983,-1,5.863533021,445.6286626,430.6961631,127.9593211,0.391192957,0.366228508,0.16048014,-0.308162061,-0.307692308,0.589902593,1.270438464,1.263157895,0.381845724,0.475857368,0.473684211,0.176515812,0.021810595,0,0.043934015,0.015019889,0,0.023776353,0.468449931,0,0.784654074,465.3308174,459.2130268,124.5602697,6648,4712
RC2_0135,0.089139393,0,0.186230465,0.236813784,0.2,0.217917823,9.650811843,9,5.480742052,-0.332760267,-1,6.290878264,452.9483631,442.5308727,130.7134199,0.393181784,0.375476885,0.15165879,-0.285221726,-0.294117647,0.579319601,1.268034744,1.263157895,0.376373704,0.487942198,0.481481481,0.18740169,0.022420157,0,0.043225421,0.016372138,0,0.024912613,0.447821101,0,0.785428,471.6792625,467.1842706,126.7130751,7185,5235
RC2_0136,0.092056874,0,0.185902671,0.240224398,0.207940252,0.212706959,9.957983193,9,5.638772115,-0.186592819,-1,6.650084901,468.2501458,456.6371176,139.2323058,0.399882306,0.379745694,0.152331569,-0.295162081,-0.307692308,0.551268405,1.265719034,1.259259259,0.367631213,0.478095776,0.476190476,0.182572209,0.021205869,0,0.043091599,0.01443442,0,0.023264574,0.473945409,0,0.857980287,484.8604653,481.040125,135.0925272,7112,5236
RC2_0137,0.080939033,0,0.173562538,0.2146886,0.176470588,0.207591054,9.213545982,9,5.435438237,-0.752692626,-2,6.058870005,452.2787972,438.6754059,128.7029327,0.390026657,0.366012427,0.160849756,-0.411711717,-0.428571429,0.586712947,1.328864853,1.315789474,0.387390038,0.469124953,0.464285714,0.181983239,0.016686082,0,0.040444782,0.017233129,0,0.024782465,0.395552955,0,0.721291372,480.0667384,477.1831797,123.9055466,7108,4828
RC2_0138,0.110673816,0,0.207665104,0.267177335,0.238095238,0.224700927,10.80701754,10,5.901165309,0.29686576,-1,6.787312461,472.6145322,458.5898121,140.1768973,0.415946369,0.39283146,0.166433449,-0.277282259,-0.285714286,0.583818948,1.219610209,1.214285714,0.384304218,0.473581579,0.473684211,0.193155121,0.01572607,0,0.039307646,0.014584086,0,0.023256236,0.47567909,0,0.853643061,500.1424412,496.0732449,135.3179048,7251,5073
RC2_0139,0.107785315,0,0.205106688,0.253278159,0.215686275,0.22889407,10.01213347,9,5.687116963,-0.037209302,-1,6.568181636,451.8946692,439.6777741,129.1871733,0.409584669,0.386682464,0.166567038,-0.308861551,-0.315789474,0.596895322,1.251117834,1.25,0.396985968,0.479020583,0.473684211,0.195462643,0.016225653,0,0.040335006,0.016468028,0,0.025075492,0.387742718,0,0.759170769,478.1602344,475.2468312,125.0146842,7405,4945
RC2_0140,0.101804566,0,0.20136787,0.255944526,0.217391304,0.22606155,9.943895055,9,5.745412992,0.127144299,-1,6.284370959,454.1511129,438.6224894,135.6028364,0.407622452,0.379116094,0.179045222,-0.279095337,-0.285714286,0.604277829,1.243511453,1.24137931,0.392462562,0.475922069,0.473684211,0.186238591,0.02103082,0,0.044238359,0.014950778,0,0.024125474,0.452867502,0,0.817793554,468.9893584,461.2392334,127.8129102,7338,4955
RC2_0141,0.097132263,0,0.19743522,0.247221576,0.209302326,0.223711318,9.811331445,9,5.702956241,-0.012275732,-1,6.471118044,456.2060384,444.6533214,131.8879592,0.395148054,0.370035739,0.16451663,-0.282549854,-0.3,0.594806025,1.256587169,1.25,0.385479455,0.477331131,0.473684211,0.185964012,0.021952019,0,0.043595815,0.014080683,0,0.02330182,0.480842912,0,0.839490674,470.7631443,469.1845136,126.7581194,7417,5295
RC2_0142,0.087656251,0,0.18232362,0.237111137,0.2,0.214689077,9.521972559,9,5.272238992,-0.38377411,-1,5.991928341,452.5650186,441.6336706,129.1315956,0.387907073,0.365999164,0.152930298,-0.303921803,-0.3125,0.579879646,1.272983199,1.266666667,0.373831818,0.47935783,0.476190476,0.178134238,0.021188527,0,0.041550273,0.014705478,0,0.023516675,0.469255663,0,0.816280918,470.4400262,469.0522514,126.08042,6819,5029
RC2_0143,0.106287944,0,0.20665828,0.251983347,0.212121212,0.227679674,10.10037406,9,5.84100499,0.106400665,-1,6.560235629,460.9253424,446.7095374,133.5865796,0.405676788,0.379506283,0.173658271,-0.343207765,-0.352941176,0.602469913,1.260773171,1.264705882,0.400996006,0.465719267,0.464285714,0.190888717,0.015626708,0,0.042431038,0.015917523,0,0.024640063,0.37254902,0,0.746115946,483.471256,481.0335779,127.6122934,7202,4812
