Watershed,Site,WsAreaSqKm_n,WsAreaSqKm_mean,WsAreaSqKm_sd,WsAreaSqKm_min,WsAreaSqKm_max,WsAreaSqKm_cv,tt_hr_n,tt_hr_mean,tt_hr_sd,tt_hr_min,tt_hr_max,tt_hr_cv,lulc_evenness_n,lulc_evenness_mean,lulc_evenness_sd,lulc_evenness_min,lulc_evenness_max,lulc_evenness_cv,PctDecid2019Ws_n,PctDecid2019Ws_mean,PctDecid2019Ws_sd,PctDecid2019Ws_min,PctDecid2019Ws_max,PctDecid2019Ws_cv,PctConif2019Ws_n,PctConif2019Ws_mean,PctConif2019Ws_sd,PctConif2019Ws_min,PctConif2019Ws_max,PctConif2019Ws_cv,DOC_mgL_n,DOC_mgL_mean,DOC_mgL_sd,DOC_mgL_min,DOC_mgL_max,DOC_mgL_cv,number.of.peaks_n,number.of.peaks_mean,number.of.peaks_sd,number.of.peaks_min,number.of.peaks_max,number.of.peaks_cv,AI_Mod.mean_n,AI_Mod.mean_mean,AI_Mod.mean_sd,AI_Mod.mean_min,AI_Mod.mean_max,AI_Mod.mean_cv,normalized.transformations_n,normalized.transformations_mean,normalized.transformations_sd,normalized.transformations_min,normalized.transformations_max,normalized.transformations_cv
Connecticut,CT-BUNN,4,10.508,0,10.508,10.508,0,4,2.658,0.772,1.706,3.546,0.290443942814146,4,0.495,0,0.495,0.495,0,4,50.49,0,50.49,50.49,0,4,2.71,0,2.71,2.71,0,3,2.081,0.973,1.102,3.047,0.467563671311869,4,5244.75,939.867,4147,6443,0.179201487201487,4,0.215,0.034,0.171,0.252,0.158139534883721,4,11.382,0.294,11.066,11.76,0.025830258302583
Connecticut,CT-EBRA,4,139.333,0,139.333,139.333,0,4,17.905,1.941,15.994,20.394,0.108405473331472,4,0.506,0,0.506,0.506,0,4,54.03,0,54.03,54.03,0,4,9.56,0,9.56,9.56,0,4,2.989,0.721,2.428,3.947,0.241217798594848,4,5927.75,1195.408,4883,7420,0.201663025599933,4,0.255,0.028,0.229,0.289,0.109803921568627,4,10.579,1.173,9.125,11.775,0.110880045372909
Connecticut,CT-FARM,3,1492.942,0,1492.942,1492.942,0,3,4805.229,3.188,4803.221,4808.906,0.000663443927438214,3,0.629,0,0.629,0.629,0,3,30.52,0,30.52,30.52,0,3,3.5,0,3.5,3.5,0,3,3.056,0.501,2.722,3.632,0.163939790575916,3,6380,500.243,5823,6791,0.0784079937304075,3,0.234,0.016,0.218,0.251,0.0683760683760684,3,11.58,0.329,11.313,11.948,0.0284110535405872
Connecticut,CT-MOOS,3,208.934,0,208.934,208.934,0,3,28.314,3.307,25.005,31.619,0.116797344070071,3,0.534,0,0.534,0.534,0,3,48.77,0,48.77,48.77,0,3,12.71,0,12.71,12.71,0,3,5.367,0.805,4.504,6.098,0.149990683808459,3,5503,42.532,5470,5551,0.00772887515900418,3,0.241,0.005,0.236,0.246,0.020746887966805,3,11.508,0.644,10.773,11.974,0.0559610705596107
Connecticut,CT-NEPA,2,62.07,0,62.07,62.07,0,2,6.309,1.789,5.044,7.574,0.283563163734348,2,0.553,0,0.553,0.553,0,2,34.05,0,34.05,34.05,0,2,5.69,0,5.69,5.69,0,2,3.095,0.931,2.437,3.753,0.300807754442649,2,5878,147.078,5774,5982,0.0250217761143246,2,0.238,0.019,0.224,0.251,0.0798319327731093,2,12.49,0.104,12.416,12.563,0.00832666132906325
Connecticut,CT-PASS,4,1125.103,0,1125.103,1125.103,0,4,29.286,3.8,25.582,34.153,0.129754831660179,4,0.584,0,0.584,0.584,0,4,35.09,0,35.09,35.09,0,4,15.3,0,15.3,15.3,0,4,2.954,0.779,2.246,3.972,0.263710223425863,4,6160,1170.533,5420,7896,0.190021590909091,4,0.24,0.021,0.217,0.263,0.0875,4,11.011,1.475,8.838,12.127,0.13395695213877
Connecticut,CT-PHEL,3,7.818,0,7.818,7.818,0,3,2.765,0,2.765,2.765,0,3,0.511,0,0.511,0.511,0,3,48.35,0,48.35,48.35,0,3,2.59,0,2.59,2.59,0,3,3.966,1.711,2.111,5.484,0.431417044881493,3,6204,1366.941,5106,7735,0.220332205029014,3,0.255,0.03,0.231,0.288,0.117647058823529,3,10.686,1.736,8.681,11.701,0.162455549316863
Connecticut,CT-POPE,4,11.146,0,11.146,11.146,0,4,2.938,1.148,1.725,4.449,0.39074200136147,4,0.463,0,0.463,0.463,0,4,51.8,0,51.8,51.8,0,4,9.12,0,9.12,9.12,0,4,1.323,0.428,0.789,1.797,0.323507180650038,4,4264.25,695.795,3512,5144,0.163169373277833,4,0.201,0.013,0.184,0.215,0.0646766169154229,4,8.828,2.599,5.847,12.003,0.294404168554599
Connecticut,CT-SLPR,3,120.466,0,120.466,120.466,0,3,9.33,0.811,8.66,10.232,0.0869239013933548,3,0.561,0,0.561,0.561,0,3,32.56,0,32.56,32.56,0,3,17.34,0,17.34,17.34,0,3,1.994,0.526,1.604,2.592,0.263791374122367,3,5021,860.825,4374,5998,0.171444931288588,3,0.212,0.042,0.173,0.257,0.19811320754717,3,9.836,0.171,9.64,9.956,0.0173851159007727
Connecticut,CT-STIL,4,222.671,0,222.671,222.671,0,4,3511.948,1.564,3510.275,3513.846,0.000445336889953952,4,0.578,0,0.578,0.578,0,4,29.09,0,29.09,29.09,0,4,3.32,0,3.32,3.32,0,3,3.635,0.315,3.379,3.987,0.0866574965612105,4,5807.25,310.375,5568,6240,0.0534461233802574,4,0.237,0.013,0.222,0.253,0.0548523206751055,4,12.097,0.254,11.958,12.477,0.0209969413904274
