dep_names,expl_names,nobs,p.value,adj.r.squared,RMSE,statistic,df,p,r.sq.adj
DOC_mgL,WsAreaSqKm,355,0.048349709775389514,0.008194911680090566,0.8945313516691143,3.924968594047309,1,< 0.05,0.0082
DOC_mgL,tt_hr,355,1.0829262831263156e-4,0.03890816071299663,0.8805719459097746,15.33108505282783,1,< 0.05,0.0389
DOC_mgL,lulc_evenness,355,8.680362884611632e-23,0.23744190926790265,0.7843661932835453,111.22692815460218,1,< 0.05,0.2374
DOC_mgL,PctDecid2019Ws,355,9.404891142582283e-25,0.25658553146234,0.7744580618094896,123.18120843994168,1,< 0.05,0.2566
DOC_mgL,PctConif2019Ws,355,6.954717824818507e-31,0.31335405433103314,0.744301390619221,162.5495379137707,1,< 0.05,0.3134
number.of.peaks,WsAreaSqKm,362,9.584863692140875e-9,0.08497773070419024,1353.8702829922177,34.52591714278307,1,< 0.05,0.085
number.of.peaks,tt_hr,362,0.1447964973690732,0.0031355462462562267,1413.1207674707282,2.1354925844091697,1,n.s,0.0031
number.of.peaks,lulc_evenness,362,0.004327154715789029,0.01967564043351666,1401.348396716756,8.245465367850828,1,< 0.05,0.0197
number.of.peaks,PctDecid2019Ws,362,4.957446628862804e-5,0.04211121496338288,1385.2200471285605,16.870473523917575,1,< 0.05,0.0421
number.of.peaks,PctConif2019Ws,362,0.19798567569699482,0.0018340383379011893,1414.042952993181,1.6633043656185686,1,n.s,0.0018
AI_Mod.mean,WsAreaSqKm,362,3.477257179025662e-4,0.03228176647670855,0.028240714438870256,13.042469899179933,1,< 0.05,0.0323
AI_Mod.mean,tt_hr,362,0.8546462682769762,-0.0026841715413461475,0.028746388917912306,0.03360803538323391,1,n.s,-0.0027
AI_Mod.mean,lulc_evenness,362,3.316824010032488e-6,0.05576074226000005,0.02789601987188685,22.31835526944675,1,< 0.05,0.0558
AI_Mod.mean,PctDecid2019Ws,362,0.0631327204039924,0.006808096421467957,0.028609996367290627,3.474569918758477,1,n.s,0.0068
AI_Mod.mean,PctConif2019Ws,362,0.02727471366618907,0.010723996345449405,0.028553539739613734,4.913329208841377,1,< 0.05,0.0107
total.transformations,WsAreaSqKm,362,8.65198001407725e-13,0.13015853405621325,15068.902571243147,55.018154610865096,1,< 0.05,0.1302
total.transformations,tt_hr,362,0.29912325578865734,2.2492789524419798e-4,16155.214306018408,1.0812172382055927,1,n.s,0.0002
total.transformations,lulc_evenness,362,2.381090191617766e-6,0.05742995653980487,15686.223115091154,22.99540973608832,1,< 0.05,0.0574
total.transformations,PctDecid2019Ws,362,0.013726233252951095,0.014019771613533516,16043.372772567876,6.133102476880327,1,< 0.05,0.014
total.transformations,PctConif2019Ws,362,0.8450427829558398,-0.0026712306612475256,16178.596678916514,0.03825477462399471,1,n.s,-0.0027
normalized.transformations,WsAreaSqKm,362,7.410622615655656e-7,0.06329828027739215,1.114523123828582,25.39482996455426,1,< 0.05,0.0633
normalized.transformations,tt_hr,362,5.404180426648185e-11,0.11033003684022558,1.086182718825177,45.768447793677574,1,< 0.05,0.1103
normalized.transformations,lulc_evenness,362,6.160281060880885e-9,0.08716323829359329,1.1002338073622966,35.47048842025872,1,< 0.05,0.0872
normalized.transformations,PctDecid2019Ws,362,3.237257532404642e-4,0.03264195346814747,1.1326143219574711,13.181368878098475,1,< 0.05,0.0326
normalized.transformations,PctConif2019Ws,362,6.35976136527918e-4,0.02924487174075685,1.1346012860650807,11.875449833929519,1,< 0.05,0.0292
