num.trans.involved.in,sample,peak
43,WROL2019_069,201.0768413
8,WROL2019_069,201.1133055
1,WROL2019_069,201.8021074
5,WROL2019_069,204.8897534
38,WROL2019_069,205.0506496
22,WROL2019_069,205.1597799
1,WROL2019_069,206.3267904
1,WROL2019_069,207.0121291
46,WROL2019_069,207.0299269
53,WROL2019_069,207.066308
2,WROL2019_069,208.9866361
52,WROL2019_069,209.0455803
21,WROL2019_069,209.0819912
27,WROL2019_069,209.154707
3,WROL2019_069,211.0248947
26,WROL2019_069,211.0612573
34,WROL2019_069,211.0976304
43,WROL2019_069,211.133983
1,WROL2019_069,212.839394
41,WROL2019_069,213.0769008
3,WROL2019_069,214.9349327
1,WROL2019_069,215.0020468
11,WROL2019_069,215.0561782
40,WROL2019_069,215.0925338
25,WROL2019_069,215.1289345
1,WROL2019_069,216.1242171
2,WROL2019_069,216.9328866
36,WROL2019_069,217.0717993
26,WROL2019_069,217.1082018
1,WROL2019_069,217.240841
15,WROL2019_069,219.0663505
12,WROL2019_069,221.0092304
1,WROL2019_069,221.0815189
31,WROL2019_069,221.0819869
1,WROL2019_069,222.2333264
3,WROL2019_069,222.9779472
50,WROL2019_069,223.0248397
40,WROL2019_069,223.0612462
59,WROL2019_069,223.0976079
6,WROL2019_069,225.0041481
64,WROL2019_069,225.0404863
58,WROL2019_069,225.0768783
39,WROL2019_069,225.1132786
2,WROL2019_069,226.9713136
52,WROL2019_069,227.0561483
41,WROL2019_069,227.0925419
2,WROL2019_069,227.0989683
48,WROL2019_069,227.1289076
7,WROL2019_069,228.1605368
42,WROL2019_069,229.0718072
40,WROL2019_069,229.1081903
42,WROL2019_069,229.1445526
39,WROL2019_069,231.0874424
31,WROL2019_069,231.1238449
2,WROL2019_069,232.9278249
56,WROL2019_069,233.0455705
43,WROL2019_069,233.0819403
43,WROL2019_069,233.118313
30,WROL2019_069,233.1547007
1,WROL2019_069,233.8083751
41,WROL2019_069,235.0248428
55,WROL2019_069,235.061225
42,WROL2019_069,235.0976172
39,WROL2019_069,235.1339872
59,WROL2019_069,237.0404904
66,WROL2019_069,237.0768772
50,WROL2019_069,237.1132636
1,WROL2019_069,237.1261745
2,WROL2019_069,237.9913767
64,WROL2019_069,239.0197304
59,WROL2019_069,239.0561165
3,WROL2019_069,239.067398
63,WROL2019_069,239.0925097
2,WROL2019_069,239.1284676
43,WROL2019_069,239.1289014
1,WROL2019_069,239.7648331
35,WROL2019_069,241.0354243
48,WROL2019_069,241.0718073
1,WROL2019_069,241.0846639
55,WROL2019_069,241.1081834
17,WROL2019_069,241.1364762
49,WROL2019_069,241.1445558
3,WROL2019_069,242.1398639
9,WROL2019_069,242.1761835
36,WROL2019_069,243.0510742
51,WROL2019_069,243.0874561
2,WROL2019_069,243.1225992
56,WROL2019_069,243.1238242
7,WROL2019_069,243.1335387
34,WROL2019_069,243.1601886
1,WROL2019_069,244.9594361
2,WROL2019_069,244.9598891
3,WROL2019_069,245.0489481
61,WROL2019_069,245.0666936
45,WROL2019_069,245.0819617
64,WROL2019_069,245.103084
37,WROL2019_069,245.1394872
32,WROL2019_069,247.0248509
64,WROL2019_069,247.0612052
51,WROL2019_069,247.0976109
10,WROL2019_069,247.1106915
14,WROL2019_069,247.1340276
67,WROL2019_069,249.0404817
43,WROL2019_069,249.0768876
17,WROL2019_069,249.1077186
29,WROL2019_069,249.1132794
26,WROL2019_069,249.1262533
42,WROL2019_069,249.1496328
33,WROL2019_069,251.0197679
43,WROL2019_069,251.0561601
77,WROL2019_069,251.092512
28,WROL2019_069,251.1136506
36,WROL2019_069,251.1289264
1,WROL2019_069,252.0439345
1,WROL2019_069,253.0345473
66,WROL2019_069,253.0353938
37,WROL2019_069,253.0718158
72,WROL2019_069,253.1081745
26,WROL2019_069,253.1212193
1,WROL2019_069,253.1440931
46,WROL2019_069,253.1445529
77,WROL2019_069,255.0510446
47,WROL2019_069,255.087462
64,WROL2019_069,255.1238207
5,WROL2019_069,255.2329784
10,WROL2019_069,256.1918415
71,WROL2019_069,257.0666978
43,WROL2019_069,257.1031138
5,WROL2019_069,257.1314241
53,WROL2019_069,257.1394606
5,WROL2019_069,258.1347653
44,WROL2019_069,259.0612259
53,WROL2019_069,259.0823543
35,WROL2019_069,259.1187658
40,WROL2019_069,259.1551052
2,WROL2019_069,260.9768032
30,WROL2019_069,261.040518
61,WROL2019_069,261.0768639
59,WROL2019_069,261.0979977
13,WROL2019_069,261.1133002
9,WROL2019_069,261.1344261
2,WROL2019_069,261.1375705
1,WROL2019_069,262.2459864
24,WROL2019_069,263.0197816
39,WROL2019_069,263.0561594
63,WROL2019_069,263.0925264
16,WROL2019_069,263.1056007
27,WROL2019_069,263.1289336
32,WROL2019_069,265.0354303
77,WROL2019_069,265.0717856
17,WROL2019_069,265.10821
26,WROL2019_069,265.1212311
37,WROL2019_069,265.1445633
2,WROL2019_069,265.1479259
21,WROL2019_069,267.0146913
64,WROL2019_069,267.0510612
31,WROL2019_069,267.0874727
69,WROL2019_069,267.1238131
2,WROL2019_069,267.1437342
14,WROL2019_069,267.1546368
25,WROL2019_069,267.1602276
1,WROL2019_069,268.8464636
1,WROL2019_069,268.9254509
9,WROL2019_069,269.0303632
91,WROL2019_069,269.0666852
46,WROL2019_069,269.1031087
1,WROL2019_069,269.1312485
34,WROL2019_069,269.1394928
1,WROL2019_069,270.226589
39,WROL2019_069,271.0459849
24,WROL2019_069,271.0612453
5,WROL2019_069,271.0630297
84,WROL2019_069,271.0823405
37,WROL2019_069,271.1187635
3,WROL2019_069,271.14711
28,WROL2019_069,271.1551372
3,WROL2019_069,271.2279438
9,WROL2019_069,273.040535
33,WROL2019_069,273.0616401
46,WROL2019_069,273.0768668
40,WROL2019_069,273.0980262
47,WROL2019_069,273.1132432
57,WROL2019_069,273.1343806
28,WROL2019_069,273.1707812
1,WROL2019_069,274.919614
22,WROL2019_069,275.019774
2,WROL2019_069,275.0363813
18,WROL2019_069,275.0561801
46,WROL2019_069,275.0691923
37,WROL2019_069,275.0772881
41,WROL2019_069,275.0925308
26,WROL2019_069,275.1055913
31,WROL2019_069,275.1136798
49,WROL2019_069,275.1288899
33,WROL2019_069,275.1500455
1,WROL2019_069,276.7047332
1,WROL2019_069,276.8505778
25,WROL2019_069,277.0354356
73,WROL2019_069,277.0717817
11,WROL2019_069,277.084881
53,WROL2019_069,277.1081768
10,WROL2019_069,277.1212752
17,WROL2019_069,277.1445832
35,WROL2019_069,277.1809135
1,WROL2019_069,277.196134
3,WROL2019_069,278.116529
3,WROL2019_069,278.1529028
2,WROL2019_069,278.8485053
1,WROL2019_069,278.8848743
17,WROL2019_069,279.0146995
40,WROL2019_069,279.0510701
71,WROL2019_069,279.0874405
48,WROL2019_069,279.1004977
71,WROL2019_069,279.1238056
7,WROL2019_069,279.1271633
35,WROL2019_069,279.1602153
4,WROL2019_069,280.1499055
2,WROL2019_069,280.8464589
1,WROL2019_069,280.977271
68,WROL2019_069,281.030314
86,WROL2019_069,281.0667002
19,WROL2019_069,281.0975489
75,WROL2019_069,281.1030904
11,WROL2019_069,281.1161723
2,WROL2019_069,281.1217266
37,WROL2019_069,281.1394996
1,WROL2019_069,281.1428442
88,WROL2019_069,283.0459498
15,WROL2019_069,283.0612449
82,WROL2019_069,283.0823289
23,WROL2019_069,283.1131921
60,WROL2019_069,283.1187437
5,WROL2019_069,283.1373474
22,WROL2019_069,283.1551497
6,WROL2019_069,283.2642669
16,WROL2019_069,285.0252699
35,WROL2019_069,285.0404497
43,WROL2019_069,285.0616289
41,WROL2019_069,285.0768642
10,WROL2019_069,285.0899757
85,WROL2019_069,285.0979951
44,WROL2019_069,285.1132417
1,WROL2019_069,285.1261574
