"Site","Number_of_reps"
"WROL2019_138",3
"WROL2019_139",3
"WROL2019_140",3
"WROL2019_145",3
"WROL2019_146",3
"WROL2019_147",3
"WROL2019_148",3
"WROL2019_149",3
"WROL2019_150",3
"WROL2019_151",3
"WROL2019_152",3
"WROL2019_153",3
"WROL2019_154",3
"WROL2019_155",3
"WROL2019_162",3
"WROL2019_164",3
"WROL2019_165",3
"WROL2019_166",3
"WROL2019_167",3
"WROL2019_168",3
"WROL2019_169",3
"WROL2019_170",3
"WROL2019_171",3
"WROL2019_172",3
"WROL2019_173",3
"WROL2019_174",3
"WROL2019_175",3
"WROL2019_176",3
"WROL2019_177",3
"WROL2019_178",3
"WROL2019_179",3
"WROL2019_180",3
"WROL2019_181",3
"WROL2019_182",3
"WROL2019_183",3
"WROL2019_184",3
"WROL2019_185",3
"WROL2019_186",3
"WROL2019_188",3
"WROL2019_189",3
"WROL2019_190",3
"WROL2019_192",3
"WROL2019_193",2
"WROL2019_194",3
"WROL2019_195",3
"WROL2019_209",3
"WROL2019_210",3
"WROL2019_211",3
"WROL2019_212",3
"WROL2019_213",3
"WROL2019_215",3
"WROL2019_216",3
"WROL2019_1001",3
"WROL2019_1002",2
"WROL2019_1003",3
"WROL2019_1004",3
"RC2_0001",3
"RC2_0002",3
